Resultado obtido via SPG com funcao penalizada por 10E+26 quando x > 0.1y
Resultado apenas utilizando SPG
Resumo SPG
npun = 100
ndim = 2
f_SPG = 921.4270631728488
||g_SPG|| = 74.24157476901576
x_min = 4.023363882480257 | x_max = 4.907817912887587
y_min = 48.606247811406696 | y_max = 49.501800197509446

metodo	ponto	x	y
MADS	61	4.90936661675383	49.44359210899974
MADS	62	4.44828930404266	48.79716202207726
MADS	63	4.47180267812614	48.8000834879539
MADS	64	4.74685042515698	49.38411211933249
MADS	65	4.85816181237152	49.24463149652116
MADS	66	4.63220375329569	49.46219054612559
MADS	67	4.73820493985581	48.7430544190861
MADS	68	4.21114708698689	49.31856191086104
MADS	69	4.64144568940759	49.53167826716438
MADS	70	4.8766767054242	49.3520755193787
MADS	71	4.45619308019988	49.31627201530559
MADS	72	4.84568010294397	49.30000440731569
MADS	73	4.60457399695843	49.57465512673661
MADS	74	4.76076886844582	48.7908779772364
MADS	75	4.13071690586997	48.6673985733022
MADS	76	4.02356388248026	48.96671129660962
MADS	77	4.70977526092202	49.41987576301061
MADS	78	4.77925725915556	48.91960315698029
MADS	79	4.50949097368193	48.72393578157017
MADS	80	4.75772330376655	48.83400513701149
MADS	81	4.57271292460887	48.71702780207588
MADS	82	4.27665661702007	48.76056843718468
MADS	83	4.68497349669061	48.69876570533969
MADS	84	4.66035380335311	49.50280019750945
MADS	85	4.29722260134059	48.74344307615474
MADS	86	4.68460950059177	49.34189163476549
MADS	87	4.85337469176992	49.22635060728102
MADS	88	4.66963244869658	48.71750868208116
MADS	89	4.64612535286561	49.52872233361642
MADS	90	4.43699977044535	48.79900292555392
MADS	91	4.63118714123871	49.41120162781891
MADS	92	4.56721538061864	48.71935063258569
MADS	93	4.72426159905141	48.6806571955351
MADS	94	4.21245904369742	49.27048967463127
MADS	95	4.03933528855519	49.22617650621945
MADS	96	4.61233812362501	48.67184620287269
MADS	97	4.52911966001144	48.69108327969268
MADS	98	4.5720364868176	49.4379220490421
MADS	99	4.77565351105927	49.58388278804659
MADS	100	4.48681756575402	48.80176164638129
